facility_id,facility_name,facility_type,address,city,state,zip_code,phone,total_beds,is_active,created_date
FAC000045,Urgent Care Facility - 948,Urgent Care,2374 Medical Pkwy,Dallas,PA,82756,555-407-8742,121.0,True,2021-07-29 23:53:57.926639
FAC000046,Family Practice Center - 702,Ambulatory Center,5033 Medical Pkwy,San Diego,PA,22799,555-227-5713,116.0,True,2022-07-05 23:53:57.926639
FAC000047,Specialty Medical Center - 864,Hospital,8179 Oak Ave,Chicago,FL,68355,555-527-3938,219.0,True,2023-11-04 23:53:57.926639
FAC000048,Central Medical Center - 235,Outpatient Center,1136 Oak Ave,Philadelphia,AZ,33091,555-603-5009,,True,2022-09-09 23:53:57.926639
FAC000049,Central Medical Center - 825,Outpatient Center,7221 Medical Pkwy,San Antonio,NY,50374,555-129-2955,227.0,True,2024-01-15 23:53:57.926639
FAC000050,Specialty Medical Center - 411,Urgent Care,6999 Medical Pkwy,Houston,PA,63188,555-883-5541,98.0,True,2022-12-30 23:53:57.926639
FAC000051,Urgent Care Facility - 68,Urgent Care,8033 Main St,Austin,FL,19123,555-604-2093,38.0,False,2023-05-06 23:53:57.926639
FAC000052,Family Practice Center - 936,Clinic,6016 Medical Pkwy,Phoenix,PA,88415,555-713-6927,32.0,True,2024-05-20 23:53:57.926639
FAC000053,Specialty Medical Center - 218,Ambulatory Center,4140 Healthcare Blvd,Chicago,TX,24253,555-695-8872,27.0,True,2025-07-02 23:53:57.926639
FAC000054,Advanced Healthcare Center - 406,Ambulatory Center,9828 Wellness Dr,San Diego,NY,99850,555-679-8144,96.0,True,2024-10-24 23:53:57.926639
FAC000055,Advanced Healthcare Center - 147,Ambulatory Center,3303 Healthcare Blvd,Dallas,IL,88172,555-989-5225,272.0,True,2025-05-30 23:53:57.926639
FAC000056,Urgent Care Facility - 143,Ambulatory Center,1852 Oak Ave,Dallas,AZ,59664,555-743-8799,290.0,True,2021-02-06 23:53:57.926639
FAC000057,Family Practice Center - 763,Clinic,5091 Main St,Los Angeles,NY,52914,555-810-2959,140.0,True,2021-10-22 23:53:57.926639
FAC000058,Urgent Care Facility - 765,Urgent Care,6583 Medical Pkwy,San Antonio,IL,74788,555-482-9397,102.0,True,2021-10-04 23:53:57.926639
FAC000059,Primary Care Associates - 920,Outpatient Center,6324 Medical Pkwy,Philadelphia,AZ,94540,555-850-1287,,True,2024-06-06 23:53:57.926639
FAC000060,Primary Care Associates - 371,Clinic,7312 Medical Pkwy,Dallas,AZ,96529,555-965-5252,35.0,True,2023-09-09 23:53:57.926639
FAC000061,Family Practice Center - 142,Hospital,7155 Wellness Dr,New York,CA,18058,555-266-1958,133.0,True,2023-07-15 23:53:57.926639
FAC000062,Advanced Healthcare Center - 94,Clinic,2330 Medical Pkwy,Houston,IL,21866,555-249-6237,79.0,True,2024-03-20 23:53:57.926639
FAC000063,Central Medical Center - 882,Clinic,5353 Wellness Dr,Austin,AZ,38522,555-572-3219,,True,2024-08-27 23:53:57.926639
FAC000064,Community Health Clinic - 157,Clinic,3390 Healthcare Blvd,Chicago,PA,28208,555-465-3675,121.0,True,2022-04-30 23:53:57.926639
FAC000065,Regional Hospital - 812,Specialty Center,5247 Oak Ave,Dallas,CA,86122,555-154-5467,,True,2023-08-29 23:53:57.926639
FAC000066,Primary Care Associates - 611,Hospital,6624 Medical Pkwy,Chicago,CA,93379,555-469-7873,23.0,True,2025-05-23 23:53:57.926639
FAC000067,Community Health Clinic - 395,Urgent Care,4875 Healthcare Blvd,San Diego,NY,10024,555-751-6832,67.0,True,2025-01-20 23:53:57.926639
FAC000068,Primary Care Associates - 611,Outpatient Center,9535 Oak Ave,Chicago,PA,29231,555-149-5749,,True,2023-06-09 23:53:57.926639
FAC000069,Advanced Healthcare Center - 542,Outpatient Center,5439 Healthcare Blvd,Chicago,PA,96623,555-398-9677,,True,2024-04-02 23:53:57.926639
FAC000070,Urgent Care Facility - 995,Urgent Care,4692 Healthcare Blvd,Austin,TX,29558,555-754-2258,,False,2022-05-04 23:53:57.926639
FAC000071,Central Medical Center - 697,Specialty Center,6080 Main St,Austin,TX,69372,555-626-4175,44.0,True,2025-05-28 23:53:57.926639
FAC000072,Community Health Clinic - 699,Outpatient Center,9338 Oak Ave,Chicago,FL,79632,555-884-4002,150.0,True,2024-02-04 23:53:57.926639
FAC000073,Urgent Care Facility - 788,Clinic,9803 Wellness Dr,San Diego,AZ,48207,555-883-2548,,True,2022-02-18 23:53:57.926639
FAC000074,Specialty Medical Center - 115,Outpatient Center,3047 Wellness Dr,Philadelphia,AZ,61115,555-713-3738,34.0,True,2023-10-23 23:53:57.926639
FAC000075,Urgent Care Facility - 446,Hospital,540 Healthcare Blvd,New York,AZ,90684,555-656-6285,,True,2022-02-02 23:53:57.926639
FAC000076,Regional Hospital - 465,Hospital,3534 Healthcare Blvd,Houston,NY,85750,555-993-6180,,True,2025-04-28 23:53:57.926639
FAC000077,Central Medical Center - 977,Urgent Care,4873 Main St,San Diego,CA,68610,555-946-5932,88.0,True,2021-09-14 23:53:57.926639
FAC000078,Urgent Care Facility - 996,Specialty Center,6803 Healthcare Blvd,Houston,TX,35646,555-377-6939,136.0,True,2021-02-04 23:53:57.926639
FAC000079,Regional Hospital - 520,Ambulatory Center,2380 Medical Pkwy,Los Angeles,IL,36956,555-198-9755,,True,2023-05-01 23:53:57.926639
FAC000080,Community Health Clinic - 892,Ambulatory Center,4065 Medical Pkwy,Phoenix,FL,99327,555-693-6761,11.0,True,2021-05-01 23:53:57.926639
FAC000081,Urgent Care Facility - 862,Specialty Center,2625 Healthcare Blvd,Philadelphia,TX,51497,555-943-3354,86.0,True,2021-07-12 23:53:57.926639
FAC000082,Family Practice Center - 157,Outpatient Center,6276 Main St,Houston,CA,49286,555-113-3243,28.0,True,2021-03-13 23:53:57.926639
FAC000083,Specialty Medical Center - 781,Specialty Center,7457 Wellness Dr,New York,CA,84747,555-630-5610,39.0,True,2023-04-20 23:53:57.926639
FAC000084,Regional Hospital - 553,Specialty Center,7951 Wellness Dr,Houston,IL,99071,555-481-8944,,True,2022-09-03 23:53:57.926639
FAC000085,Central Medical Center - 614,Outpatient Center,6666 Wellness Dr,Dallas,NY,49917,555-521-6575,,True,2023-09-25 23:53:57.926639
FAC000086,Specialty Medical Center - 501,Hospital,8400 Healthcare Blvd,Philadelphia,TX,66980,555-266-2678,,True,2022-03-10 23:53:57.926639
FAC000087,Central Medical Center - 115,Clinic,9007 Main St,San Antonio,AZ,55123,555-323-3532,152.0,True,2024-09-22 23:53:57.926639
FAC000088,Specialty Medical Center - 900,Urgent Care,5990 Wellness Dr,San Diego,PA,21703,555-615-4622,,True,2025-11-17 23:53:57.926639
FAC000089,Urgent Care Facility - 246,Ambulatory Center,9829 Main St,San Diego,NY,86379,555-951-4087,247.0,True,2024-05-30 23:53:57.926639
FAC000090,Central Medical Center - 247,Hospital,1891 Oak Ave,New York,AZ,11064,555-914-9612,,True,2024-07-16 23:53:57.926639
FAC000091,Community Health Clinic - 88,Specialty Center,5916 Oak Ave,New York,TX,90149,555-966-9717,75.0,True,2023-03-13 23:53:57.926639
FAC000092,Advanced Healthcare Center - 836,Specialty Center,825 Wellness Dr,Philadelphia,IL,76902,555-829-2867,58.0,True,2024-11-01 23:53:57.926639
FAC000093,Community Health Clinic - 779,Ambulatory Center,6647 Medical Pkwy,Los Angeles,NY,62978,555-527-8544,,True,2021-01-19 23:53:57.926639
FAC000094,Regional Hospital - 132,Outpatient Center,7152 Main St,Dallas,TX,26718,555-178-2909,39.0,True,2021-04-09 23:53:57.926639
FAC000095,Advanced Healthcare Center - 970,Urgent Care,272 Main St,Phoenix,AZ,48559,555-938-3150,,True,2021-08-26 23:53:57.926639
FAC000096,Regional Hospital - 272,Clinic,4339 Oak Ave,Phoenix,TX,18180,555-117-8856,282.0,True,2023-10-01 23:53:57.926639
FAC000097,Primary Care Associates - 988,Outpatient Center,8466 Wellness Dr,Austin,FL,58394,555-456-6104,,True,2025-09-13 23:53:57.926639
FAC000098,Family Practice Center - 952,Ambulatory Center,9242 Wellness Dr,Dallas,PA,81943,555-807-6940,,True,2022-11-21 23:53:57.926639
FAC000099,Family Practice Center - 731,Outpatient Center,9524 Oak Ave,Austin,CA,16963,555-242-8240,99.0,True,2021-09-18 23:53:57.926639
FAC000100,Urgent Care Facility - 409,Clinic,7403 Medical Pkwy,Chicago,FL,10110,555-711-9570,46.0,True,2024-03-25 23:53:57.926639
FAC000101,Specialty Medical Center - 449,Clinic,6508 Healthcare Blvd,San Antonio,CA,83404,555-881-6604,170.0,True,2024-07-29 23:53:57.926639
FAC000102,Advanced Healthcare Center - 124,Specialty Center,9743 Wellness Dr,San Antonio,TX,57086,555-276-5991,139.0,True,2022-04-04 23:53:57.926639
FAC000103,Family Practice Center - 231,Outpatient Center,2569 Medical Pkwy,Philadelphia,AZ,24378,555-129-2943,41.0,True,2024-04-05 23:53:57.926639
FAC000104,Community Health Clinic - 347,Hospital,502 Healthcare Blvd,Austin,CA,46989,555-327-3108,33.0,True,2023-09-26 23:53:57.926639
FAC000105,Central Medical Center - 603,Hospital,1812 Medical Pkwy,Los Angeles,TX,14087,555-977-3332,299.0,True,2023-11-06 23:53:57.926639
FAC000106,Family Practice Center - 603,Outpatient Center,6915 Main St,Dallas,TX,40833,555-804-4712,142.0,True,2021-07-04 23:53:57.926639
FAC000107,Family Practice Center - 8,Clinic,2001 Oak Ave,Phoenix,PA,66585,555-414-3053,,True,2023-07-25 23:53:57.926639
FAC000108,Community Health Clinic - 725,Urgent Care,5807 Medical Pkwy,San Antonio,AZ,87353,555-314-3133,,True,2023-08-29 23:53:57.926639
FAC000109,Central Medical Center - 235,Clinic,5720 Healthcare Blvd,Houston,CA,61677,555-180-7960,,True,2023-10-22 23:53:57.926639
FAC000110,Community Health Clinic - 928,Clinic,3489 Wellness Dr,Dallas,AZ,91948,555-807-2830,22.0,True,2024-07-31 23:53:57.926639
FAC000111,Central Medical Center - 881,Urgent Care,8012 Medical Pkwy,San Antonio,AZ,51697,555-179-1308,64.0,True,2025-09-26 23:53:57.926639
FAC000112,Specialty Medical Center - 73,Ambulatory Center,7901 Main St,Philadelphia,PA,60173,555-893-8934,,True,2024-07-15 23:53:57.926639
FAC000113,Family Practice Center - 286,Clinic,7278 Healthcare Blvd,Philadelphia,AZ,63219,555-875-8065,41.0,True,2023-04-27 23:53:57.926639
FAC000114,Advanced Healthcare Center - 220,Urgent Care,5325 Main St,San Diego,CA,60012,555-143-4217,,True,2021-12-16 23:53:57.926639
FAC000115,Regional Hospital - 741,Outpatient Center,5019 Main St,San Diego,CA,67041,555-210-1537,110.0,True,2024-10-24 23:53:57.926639
FAC000116,Advanced Healthcare Center - 249,Urgent Care,1985 Main St,Austin,NY,81449,555-912-9412,20.0,True,2024-02-20 23:53:57.926639
FAC000117,Advanced Healthcare Center - 827,Hospital,5720 Main St,New York,IL,37684,555-707-1971,,True,2022-06-22 23:53:57.926639
FAC000118,Primary Care Associates - 195,Urgent Care,2792 Oak Ave,Dallas,FL,96833,555-580-2948,20.0,True,2021-06-14 23:53:57.926639
FAC000119,Community Health Clinic - 100,Clinic,8554 Oak Ave,Chicago,TX,32729,555-359-1709,212.0,True,2025-10-14 23:53:57.926639
FAC000120,Primary Care Associates - 363,Ambulatory Center,9142 Oak Ave,San Diego,IL,72242,555-167-5942,21.0,True,2024-04-24 23:53:57.926639
FAC000121,Primary Care Associates - 421,Outpatient Center,5522 Wellness Dr,Chicago,PA,28228,555-783-1168,44.0,True,2023-07-14 23:53:57.926639
FAC000122,Advanced Healthcare Center - 885,Urgent Care,7085 Healthcare Blvd,Houston,AZ,34671,555-872-2581,50.0,True,2023-09-29 23:53:57.926639
FAC000123,Central Medical Center - 690,Clinic,3898 Healthcare Blvd,Los Angeles,NY,82800,555-901-3028,,True,2024-10-19 23:53:57.926639
FAC000124,Community Health Clinic - 63,Ambulatory Center,3122 Oak Ave,Dallas,NY,60409,555-716-4365,13.0,True,2022-10-31 23:53:57.926639
FAC000125,Primary Care Associates - 746,Urgent Care,7180 Healthcare Blvd,Phoenix,PA,57223,555-701-4277,148.0,True,2021-02-17 23:53:57.926639
FAC000126,Specialty Medical Center - 820,Outpatient Center,578 Wellness Dr,Houston,TX,64687,555-289-6759,33.0,True,2025-02-08 23:53:57.926639
FAC000127,Community Health Clinic - 255,Outpatient Center,3332 Healthcare Blvd,Chicago,TX,30220,555-129-2487,11.0,True,2023-01-14 23:53:57.926639
FAC000128,Family Practice Center - 195,Hospital,9802 Healthcare Blvd,Chicago,IL,47810,555-249-5544,31.0,True,2024-11-19 23:53:57.926639
FAC000129,Advanced Healthcare Center - 144,Outpatient Center,6470 Main St,Chicago,IL,97826,555-693-6698,62.0,True,2021-09-02 23:53:57.926639
FAC000130,Primary Care Associates - 188,Ambulatory Center,3619 Oak Ave,Philadelphia,CA,26455,555-460-3630,20.0,True,2022-07-15 23:53:57.926639
FAC000131,Urgent Care Facility - 474,Clinic,4660 Main St,Austin,IL,27600,555-975-9202,91.0,True,2025-06-04 23:53:57.926639
FAC000132,Family Practice Center - 896,Outpatient Center,9559 Main St,Los Angeles,IL,11520,555-899-4962,,True,2022-08-08 23:53:57.926639
FAC000133,Community Health Clinic - 454,Outpatient Center,8896 Oak Ave,Houston,AZ,19403,555-617-2119,65.0,True,2022-08-14 23:53:57.926639
FAC000134,Community Health Clinic - 52,Clinic,6093 Medical Pkwy,San Antonio,PA,94985,555-201-1229,95.0,True,2024-03-11 23:53:57.926639
FAC000135,Central Medical Center - 993,Clinic,3328 Healthcare Blvd,Philadelphia,NY,12058,555-641-4555,267.0,True,2025-04-26 23:53:57.926639
FAC000136,Community Health Clinic - 949,Ambulatory Center,1967 Medical Pkwy,Los Angeles,FL,28873,555-832-4138,,True,2022-08-26 23:53:57.926639
FAC000137,Family Practice Center - 171,Outpatient Center,8119 Wellness Dr,San Diego,IL,73792,555-388-3814,268.0,True,2023-01-06 23:53:57.926639
FAC000138,Primary Care Associates - 498,Ambulatory Center,5234 Wellness Dr,San Diego,CA,96235,555-872-9800,49.0,True,2025-12-06 23:53:57.926639
FAC000139,Advanced Healthcare Center - 219,Outpatient Center,6467 Wellness Dr,San Diego,IL,67243,555-104-2616,,True,2021-12-28 23:53:57.926639
FAC000140,Primary Care Associates - 925,Urgent Care,6531 Wellness Dr,Houston,AZ,27796,555-319-9260,141.0,False,2025-12-03 23:53:57.926639
FAC000141,Central Medical Center - 169,Outpatient Center,1971 Medical Pkwy,Austin,FL,21097,555-971-8777,253.0,False,2021-07-17 23:53:57.926639
FAC000142,Primary Care Associates - 3,Hospital,5866 Healthcare Blvd,Chicago,FL,27985,555-475-4033,139.0,True,2023-12-01 23:53:57.926639
FAC000143,Primary Care Associates - 272,Hospital,2926 Medical Pkwy,San Antonio,TX,94180,555-550-2758,262.0,True,2025-07-15 23:53:57.926639
FAC000144,Advanced Healthcare Center - 293,Hospital,9769 Main St,New York,AZ,64507,555-285-6813,40.0,True,2021-08-31 23:53:57.926639
FAC000145,Primary Care Associates - 714,Hospital,2294 Medical Pkwy,Houston,CA,69772,555-488-7948,,True,2022-02-02 23:53:57.926639
FAC000146,Advanced Healthcare Center - 159,Ambulatory Center,2031 Oak Ave,New York,TX,89223,555-319-9425,131.0,True,2024-03-04 23:53:57.926639
FAC000147,Family Practice Center - 304,Outpatient Center,5103 Main St,Chicago,NY,65797,555-333-7677,42.0,True,2024-01-24 23:53:57.926639
FAC000148,Family Practice Center - 992,Urgent Care,3099 Medical Pkwy,Austin,FL,91690,555-215-6149,24.0,True,2021-09-28 23:53:57.926639
FAC000149,Central Medical Center - 594,Ambulatory Center,2416 Wellness Dr,Austin,CA,33566,555-226-8633,,True,2021-09-30 23:53:57.926639
FAC000150,Central Medical Center - 766,Clinic,6464 Healthcare Blvd,Chicago,CA,69558,555-212-9515,25.0,True,2022-12-10 23:53:57.926639
FAC000151,Specialty Medical Center - 59,Outpatient Center,9871 Oak Ave,Chicago,PA,76770,555-239-9123,227.0,True,2025-09-08 23:53:57.926639
FAC000152,Central Medical Center - 599,Specialty Center,9517 Healthcare Blvd,Dallas,IL,65590,555-880-6918,69.0,True,2022-05-15 23:53:57.926639
FAC000153,Advanced Healthcare Center - 515,Outpatient Center,7031 Oak Ave,New York,CA,82358,555-821-5723,,True,2025-10-07 23:53:57.926639
FAC000154,Regional Hospital - 59,Ambulatory Center,8073 Wellness Dr,Austin,FL,68988,555-670-1665,171.0,True,2023-02-18 23:53:57.926639
FAC000155,Community Health Clinic - 872,Hospital,2938 Wellness Dr,Chicago,PA,60425,555-184-6375,206.0,False,2024-11-10 23:53:57.926639
FAC000156,Regional Hospital - 71,Specialty Center,2833 Healthcare Blvd,New York,FL,56570,555-605-2895,287.0,True,2024-01-05 23:53:57.926639
FAC000157,Community Health Clinic - 692,Ambulatory Center,4832 Oak Ave,Chicago,NY,39588,555-494-5646,31.0,True,2023-01-15 23:53:57.926639
FAC000158,Family Practice Center - 414,Outpatient Center,3165 Medical Pkwy,Phoenix,NY,34352,555-567-6111,137.0,True,2024-12-05 23:53:57.926639
FAC000159,Community Health Clinic - 965,Urgent Care,7489 Wellness Dr,Chicago,PA,65675,555-803-8273,233.0,True,2025-02-28 23:53:57.926639
FAC000160,Family Practice Center - 593,Ambulatory Center,978 Medical Pkwy,Dallas,NY,89242,555-331-7672,21.0,True,2021-05-05 23:53:57.926639
FAC000161,Central Medical Center - 635,Urgent Care,257 Healthcare Blvd,San Antonio,CA,10973,555-397-8011,112.0,True,2023-01-14 23:53:57.926639
FAC000162,Community Health Clinic - 430,Specialty Center,2336 Oak Ave,Austin,AZ,85751,555-293-2140,131.0,True,2023-10-28 23:53:57.926639
FAC000163,Specialty Medical Center - 958,Clinic,6390 Wellness Dr,Austin,CA,75294,555-961-8793,61.0,True,2021-03-22 23:53:57.926639
FAC000164,Urgent Care Facility - 210,Ambulatory Center,8381 Healthcare Blvd,New York,FL,41031,555-795-7020,,True,2022-01-06 23:53:57.926639
FAC000165,Specialty Medical Center - 245,Specialty Center,6803 Healthcare Blvd,Phoenix,FL,75762,555-283-1209,89.0,True,2024-10-03 23:53:57.926639
FAC000166,Urgent Care Facility - 406,Urgent Care,6909 Healthcare Blvd,Los Angeles,FL,45291,555-790-9055,104.0,True,2024-05-31 23:53:57.926639
FAC000167,Regional Hospital - 688,Specialty Center,8106 Oak Ave,Houston,IL,63849,555-788-2723,,True,2021-07-19 23:53:57.926639
FAC000168,Urgent Care Facility - 469,Hospital,1454 Wellness Dr,San Diego,NY,81587,555-505-8177,,True,2025-02-19 23:53:57.937506
FAC000169,Specialty Medical Center - 952,Ambulatory Center,605 Oak Ave,Austin,IL,85543,555-635-2392,,True,2023-12-12 23:53:57.937506
FAC000170,Community Health Clinic - 10,Hospital,4885 Main St,San Diego,PA,58099,555-222-3348,,True,2024-03-08 23:53:57.937506
FAC000171,Advanced Healthcare Center - 637,Clinic,4603 Oak Ave,San Diego,FL,14385,555-504-7563,,True,2023-09-22 23:53:57.937506
FAC000172,Community Health Clinic - 76,Specialty Center,8908 Medical Pkwy,Chicago,NY,14963,555-811-2666,,True,2024-10-31 23:53:57.937506
FAC000173,Family Practice Center - 519,Specialty Center,2855 Healthcare Blvd,Houston,IL,84468,555-859-3764,294.0,True,2022-12-10 23:53:57.937506
FAC000174,Urgent Care Facility - 136,Specialty Center,9367 Healthcare Blvd,San Antonio,TX,73342,555-166-6959,118.0,True,2021-12-06 23:53:57.937506
FAC000175,Specialty Medical Center - 903,Specialty Center,9106 Wellness Dr,Austin,TX,58310,555-303-6548,218.0,True,2024-08-24 23:53:57.937506
FAC000176,Community Health Clinic - 901,Clinic,1954 Wellness Dr,Chicago,NY,24832,555-305-7623,,True,2025-12-19 23:53:57.937506
FAC000177,Family Practice Center - 379,Urgent Care,1971 Medical Pkwy,Austin,IL,86056,555-225-4815,,True,2025-11-03 23:53:57.937506
FAC000178,Urgent Care Facility - 162,Outpatient Center,8998 Medical Pkwy,Chicago,CA,73115,555-958-7958,22.0,True,2021-04-20 23:53:57.937506
FAC000179,Advanced Healthcare Center - 854,Clinic,8980 Main St,Austin,PA,20494,555-842-9177,286.0,True,2025-12-05 23:53:57.937506
FAC000180,Urgent Care Facility - 627,Urgent Care,7331 Wellness Dr,Dallas,AZ,28623,555-385-5472,,True,2021-10-22 23:53:57.937506
FAC000181,Central Medical Center - 684,Ambulatory Center,3680 Healthcare Blvd,Phoenix,CA,78997,555-874-7557,225.0,True,2023-02-02 23:53:57.937506
FAC000182,Urgent Care Facility - 955,Urgent Care,1777 Oak Ave,Chicago,CA,46624,555-464-8795,47.0,True,2025-06-20 23:53:57.937506
FAC000183,Community Health Clinic - 962,Ambulatory Center,4977 Main St,Philadelphia,AZ,70940,555-782-7626,99.0,True,2023-03-25 23:53:57.937506
FAC000184,Regional Hospital - 271,Urgent Care,7468 Medical Pkwy,San Diego,AZ,77757,555-596-9379,211.0,True,2023-10-24 23:53:57.937506
FAC000185,Community Health Clinic - 912,Specialty Center,5811 Main St,Austin,FL,20254,555-385-3414,,True,2021-08-09 23:53:57.937506
