plan_id,insurance_company,plan_name,plan_type,copay_amount,deductible_amount,out_of_pocket_max,is_active,created_date
INS000030,Anthem,Silver Plan 2023,EPO,58.13,4747.73,5417.2,True,2024-03-02 23:53:57.950629
INS000031,UnitedHealthcare,Family Health Plan 2024,PPO,53.08,4995.57,5954.84,True,2021-10-24 23:53:57.950629
INS000032,Humana,Standard Health Plan 2021,EPO,93.22,1321.36,6414.78,True,2021-02-16 23:53:57.950629
INS000033,Humana,Bronze Plan 2022,EPO,66.84,1008.28,3984.89,True,2022-11-20 23:53:57.950629
INS000034,Anthem,Premium Plus Plan 2021,POS,12.68,3514.64,5900.05,True,2022-12-03 23:53:57.950629
INS000035,Medicare,Basic Coverage Plan 2021,POS,86.82,502.32,7393.54,True,2021-08-12 23:53:57.950629
INS000036,Blue Cross Blue Shield,Family Health Plan 2020,PPO,81.34,1063.1,8467.84,True,2022-12-30 23:53:57.950629
INS000037,Humana,Silver Plan 2025,HMO,48.92,4251.69,6425.69,True,2023-07-07 23:53:57.950629
INS000038,Anthem,Gold Plan 2025,EPO,82.65,1689.86,3793.05,True,2024-03-24 23:53:57.950629
INS000039,UnitedHealthcare,Standard Health Plan 2021,PPO,79.83,3066.47,7782.92,True,2021-03-27 23:53:57.950629
INS000040,UnitedHealthcare,Family Health Plan 2021,EPO,46.22,3848.16,4832.34,True,2022-11-14 23:53:57.950629
INS000041,Anthem,Silver Plan 2022,PPO,25.08,1161.78,8232.25,True,2021-03-20 23:53:57.950629
INS000042,Medicaid,Bronze Plan 2022,PPO,65.9,2978.74,5681.92,True,2024-12-30 23:53:57.950629
INS000043,Aetna,Premium Plus Plan 2025,PPO,53.51,3367.18,8382.91,True,2025-07-20 23:53:57.950629
INS000044,Medicare,Premium Plus Plan 2024,POS,62.77,2224.83,8438.49,True,2025-01-30 23:53:57.950629
INS000045,Aetna,Basic Coverage Plan 2024,HMO,72.76,1106.32,7360.23,True,2022-09-18 23:53:57.950629
INS000046,Kaiser Permanente,Premium Plus Plan 2025,POS,97.85,1591.27,5185.27,True,2021-11-28 23:53:57.950629
INS000047,Aetna,Gold Plan 2023,HMO,77.02,871.68,4342.8,True,2022-09-18 23:53:57.950629
INS000048,Anthem,Standard Health Plan 2025,HMO,85.11,3839.38,2361.34,True,2021-09-19 23:53:57.950629
INS000049,Blue Cross Blue Shield,Family Health Plan 2022,HMO,94.04,1983.64,6837.97,True,2023-09-01 23:53:57.950629
INS000050,UnitedHealthcare,Bronze Plan 2020,HMO,80.27,1822.99,5373.06,True,2024-04-17 23:53:57.950629
INS000051,Kaiser Permanente,Gold Plan 2025,EPO,60.17,745.92,7117.23,True,2025-02-06 23:53:57.950629
INS000052,UnitedHealthcare,Gold Plan 2023,PPO,51.21,5306.19,8680.69,True,2023-10-29 23:53:57.950629
INS000053,Medicaid,Standard Health Plan 2020,PPO,39.0,4822.79,5010.52,False,2025-10-12 23:53:57.950629
INS000054,Anthem,Bronze Plan 2025,EPO,43.2,2115.11,6374.39,True,2024-09-30 23:53:57.950629
INS000055,Medicare,Basic Coverage Plan 2022,POS,91.0,1204.26,7762.84,False,2021-04-25 23:53:57.950629
INS000056,Blue Cross Blue Shield,Premium Plus Plan 2023,HMO,13.27,2477.94,9484.45,True,2024-09-10 23:53:57.950629
INS000057,Medicare,Bronze Plan 2022,EPO,26.93,3051.34,5434.47,True,2023-09-10 23:53:57.950629
INS000058,Anthem,Premium Plus Plan 2025,EPO,61.38,5365.39,4125.16,True,2022-04-12 23:53:57.950629
INS000059,Anthem,Family Health Plan 2023,POS,11.54,972.58,6093.6,True,2021-07-14 23:53:57.950629
INS000060,Blue Cross Blue Shield,Gold Plan 2021,POS,69.81,1876.96,3213.52,True,2021-02-04 23:53:57.950629
INS000061,Humana,Silver Plan 2025,PPO,43.53,5474.64,5551.57,True,2025-01-14 23:53:57.950629
INS000062,Anthem,Bronze Plan 2023,EPO,40.49,1682.54,3223.59,False,2021-07-28 23:53:57.950629
INS000063,Humana,Bronze Plan 2022,POS,77.48,1524.45,4704.14,True,2025-12-29 23:53:57.950629
INS000064,Aetna,Standard Health Plan 2024,HMO,10.67,1750.63,5087.48,True,2021-01-30 23:53:57.950629
INS000065,Medicare,Premium Plus Plan 2020,PPO,38.37,1008.08,3278.46,True,2022-02-24 23:53:57.950629
INS000066,Medicaid,Silver Plan 2024,POS,51.71,2851.99,9467.34,True,2025-04-01 23:53:57.950629
INS000067,Kaiser Permanente,Gold Plan 2022,PPO,22.07,1041.41,6639.98,True,2023-06-23 23:53:57.950629
INS000068,Medicare,Standard Health Plan 2025,PPO,18.64,1208.87,3945.26,True,2023-12-20 23:53:57.950629
INS000069,Kaiser Permanente,Family Health Plan 2025,HMO,56.85,2816.03,7042.53,True,2024-01-22 23:53:57.950629
INS000070,Medicaid,Family Health Plan 2023,HMO,78.95,4454.68,4201.74,True,2023-02-14 23:53:57.950629
INS000071,Kaiser Permanente,Premium Plus Plan 2025,POS,63.36,3836.38,6373.7,True,2024-12-29 23:53:57.950629
INS000072,Aetna,Premium Plus Plan 2022,PPO,52.61,1351.59,2002.75,True,2025-08-09 23:53:57.950629
INS000073,UnitedHealthcare,Bronze Plan 2025,HMO,59.82,1433.24,9741.29,True,2024-08-10 23:53:57.950629
INS000074,Anthem,Silver Plan 2022,EPO,59.64,570.07,9681.23,True,2023-06-14 23:53:57.950629
INS000075,Medicaid,Basic Coverage Plan 2025,PPO,78.54,1307.38,8229.32,False,2023-06-12 23:53:57.950629
INS000076,Anthem,Gold Plan 2022,POS,20.78,961.34,4127.35,True,2021-01-19 23:53:57.950629
INS000077,Aetna,Family Health Plan 2025,EPO,82.97,2957.88,5201.04,True,2025-11-26 23:53:57.950629
INS000078,UnitedHealthcare,Bronze Plan 2022,PPO,80.75,4603.17,7573.5,True,2022-02-22 23:53:57.950629
INS000079,Blue Cross Blue Shield,Basic Coverage Plan 2020,HMO,67.43,3181.22,3823.62,True,2022-09-13 23:53:57.950629
INS000080,Kaiser Permanente,Premium Plus Plan 2020,PPO,32.14,1411.96,2328.7,False,2025-05-02 23:53:57.950629
INS000081,Humana,Silver Plan 2023,HMO,58.34,3641.33,5487.27,True,2026-01-13 23:53:57.950629
INS000082,Cigna,Standard Health Plan 2024,HMO,48.31,1805.49,9880.1,True,2023-07-19 23:53:57.950629
INS000083,Medicaid,Family Health Plan 2021,HMO,13.5,5152.93,5161.51,True,2025-05-26 23:53:57.950629
INS000084,Medicare,Gold Plan 2023,EPO,19.59,2599.34,3210.71,True,2025-07-13 23:53:57.950629
INS000085,Anthem,Silver Plan 2022,HMO,94.51,3362.6,9900.18,False,2021-07-20 23:53:57.950629
INS000086,Blue Cross Blue Shield,Premium Plus Plan 2025,PPO,69.83,2200.69,6217.67,True,2024-02-10 23:53:57.950629
INS000087,Medicare,Family Health Plan 2024,PPO,99.86,4648.74,6815.54,True,2021-04-27 23:53:57.950629
INS000088,Humana,Gold Plan 2024,HMO,72.63,4421.97,2545.2,True,2025-02-18 23:53:57.950629
INS000089,Blue Cross Blue Shield,Family Health Plan 2024,HMO,83.41,3933.9,2176.44,False,2024-10-10 23:53:57.950629
INS000090,Aetna,Gold Plan 2025,EPO,99.94,2689.66,8664.16,True,2022-01-15 23:53:57.950629
INS000091,Medicare,Family Health Plan 2020,POS,35.26,4289.39,2713.45,False,2021-10-29 23:53:57.950629
INS000092,Medicare,Gold Plan 2020,HMO,86.48,4832.92,2590.82,True,2022-12-15 23:53:57.950629
INS000093,Kaiser Permanente,Gold Plan 2025,POS,98.32,1658.14,9989.69,True,2026-01-03 23:53:57.950629
INS000094,Blue Cross Blue Shield,Premium Plus Plan 2024,EPO,97.76,4612.72,2903.57,True,2025-01-10 23:53:57.950629
INS000095,Kaiser Permanente,Premium Plus Plan 2020,POS,42.74,1715.15,9168.48,True,2024-12-24 23:53:57.950629
INS000096,Humana,Bronze Plan 2021,HMO,54.85,1074.93,9953.77,True,2023-08-16 23:53:57.950629
INS000097,Anthem,Basic Coverage Plan 2024,EPO,76.48,3076.5,3986.28,True,2022-02-11 23:53:57.950629
INS000098,Kaiser Permanente,Silver Plan 2025,EPO,46.62,3217.56,7289.45,True,2025-02-05 23:53:57.950629
INS000099,Humana,Gold Plan 2023,POS,12.35,5479.58,9897.09,True,2025-06-27 23:53:57.950629
INS000100,Blue Cross Blue Shield,Bronze Plan 2023,EPO,35.66,2542.13,7120.78,True,2022-05-31 23:53:57.950629
INS000101,Medicaid,Silver Plan 2025,PPO,26.63,2192.36,3305.96,True,2021-08-01 23:53:57.950629
INS000102,Humana,Premium Plus Plan 2022,EPO,18.38,3362.13,8565.99,False,2022-08-19 23:53:57.950629
INS000103,UnitedHealthcare,Silver Plan 2023,POS,22.37,2748.22,3636.57,True,2021-12-22 23:53:57.950629
INS000104,Humana,Bronze Plan 2023,POS,57.25,4193.93,5259.04,False,2022-05-04 23:53:57.950629
INS000105,Kaiser Permanente,Gold Plan 2024,HMO,63.96,2964.13,3861.19,False,2025-01-30 23:53:57.950629
INS000106,Anthem,Premium Plus Plan 2023,POS,19.01,4014.1,5800.88,True,2025-08-30 23:53:57.950629
INS000107,Blue Cross Blue Shield,Bronze Plan 2025,HMO,20.2,3222.99,5261.06,True,2024-01-24 23:53:57.950629
INS000108,Medicare,Silver Plan 2023,POS,97.72,3683.25,2003.4,True,2023-02-06 23:53:57.950629
INS000109,Kaiser Permanente,Silver Plan 2020,EPO,79.12,2513.91,3492.64,True,2021-08-20 23:53:57.950629
INS000110,Humana,Standard Health Plan 2024,EPO,38.65,5135.53,3989.0,True,2025-05-06 23:53:57.950629
INS000111,Blue Cross Blue Shield,Standard Health Plan 2020,HMO,21.14,1094.97,9346.81,True,2023-02-11 23:53:57.950629
INS000112,Aetna,Silver Plan 2022,EPO,61.88,2891.61,4569.74,True,2022-10-30 23:53:57.950629
INS000113,Kaiser Permanente,Premium Plus Plan 2022,POS,62.4,805.44,6088.35,True,2023-04-20 23:53:57.950629
INS000114,Blue Cross Blue Shield,Family Health Plan 2020,POS,17.1,4804.52,5204.87,True,2021-12-27 23:53:57.950629
INS000115,Medicaid,Silver Plan 2023,HMO,14.42,2982.32,8238.07,True,2026-01-07 23:53:57.950629
INS000116,Anthem,Bronze Plan 2022,POS,38.03,5001.56,7602.65,True,2022-03-12 23:53:57.950629
INS000117,Cigna,Basic Coverage Plan 2025,EPO,78.46,3091.39,9280.08,True,2023-12-28 23:53:57.950629
INS000118,UnitedHealthcare,Basic Coverage Plan 2022,POS,77.94,4538.03,4882.53,True,2022-11-14 23:53:57.950629
INS000119,Aetna,Standard Health Plan 2022,HMO,92.17,4800.51,9649.19,True,2025-07-06 23:53:57.950629
INS000120,Medicaid,Family Health Plan 2020,POS,17.17,577.31,8003.81,True,2023-08-11 23:53:57.950629
INS000121,Aetna,Basic Coverage Plan 2023,HMO,74.15,4322.68,5964.74,True,2025-06-12 23:53:57.950629
INS000122,UnitedHealthcare,Silver Plan 2025,POS,94.17,2380.58,4097.46,False,2021-09-16 23:53:57.950629
INS000123,UnitedHealthcare,Basic Coverage Plan 2021,HMO,88.33,1218.15,6930.24,True,2025-05-31 23:53:57.950629
INS000124,Medicare,Standard Health Plan 2024,POS,59.15,3794.55,5431.34,True,2023-03-22 23:53:57.950629
INS000125,Anthem,Bronze Plan 2024,EPO,91.57,1354.7,7202.29,True,2023-08-05 23:53:57.950629
INS000126,Humana,Silver Plan 2022,HMO,69.21,1619.54,8984.34,True,2024-11-08 23:53:57.950629
INS000127,Kaiser Permanente,Silver Plan 2023,HMO,19.04,2246.52,7576.12,True,2023-01-15 23:53:57.950629
INS000128,Medicare,Bronze Plan 2022,PPO,46.33,3869.42,4188.8,True,2023-12-17 23:53:57.950629
INS000129,Cigna,Bronze Plan 2021,HMO,93.77,930.95,8301.58,True,2024-03-06 23:53:57.950629
INS000130,Medicaid,Bronze Plan 2023,POS,38.07,2466.78,5331.13,True,2022-12-16 23:53:57.950629
INS000131,Medicare,Bronze Plan 2020,POS,89.02,4867.25,8761.02,True,2022-12-15 23:53:57.950629
INS000132,Blue Cross Blue Shield,Basic Coverage Plan 2022,EPO,18.37,2330.2,5760.37,True,2025-08-01 23:53:57.950629
INS000133,Aetna,Gold Plan 2024,PPO,39.99,4386.43,7922.68,True,2021-12-12 23:53:57.950629
INS000134,Kaiser Permanente,Silver Plan 2021,POS,76.7,3195.37,9172.61,True,2022-09-28 23:53:57.950629
INS000135,Kaiser Permanente,Basic Coverage Plan 2022,HMO,22.32,2736.41,9450.86,True,2021-02-07 23:53:57.950629
INS000136,Blue Cross Blue Shield,Premium Plus Plan 2025,EPO,18.49,1024.5,2522.67,True,2024-04-15 23:53:57.950629
INS000137,UnitedHealthcare,Premium Plus Plan 2025,EPO,95.02,1824.54,6126.3,True,2022-11-07 23:53:57.950629
INS000138,Aetna,Family Health Plan 2022,POS,10.36,3347.16,7601.56,True,2021-11-02 23:53:57.950629
INS000139,Anthem,Gold Plan 2023,PPO,90.23,4162.45,6756.38,True,2023-06-11 23:53:57.950629
INS000140,Medicaid,Silver Plan 2021,POS,13.83,3114.19,6585.88,True,2022-03-04 23:53:57.950629
INS000141,Aetna,Bronze Plan 2023,HMO,82.86,4350.45,6372.97,True,2023-05-28 23:53:57.950629
INS000142,Kaiser Permanente,Standard Health Plan 2022,HMO,46.54,1371.07,2334.65,True,2025-02-07 23:53:57.950629
INS000143,Humana,Bronze Plan 2025,PPO,19.62,5408.51,6328.33,True,2022-02-04 23:53:57.950629
INS000144,Anthem,Family Health Plan 2022,HMO,24.29,1193.72,9260.42,True,2022-03-03 23:53:57.950629
INS000145,Anthem,Basic Coverage Plan 2023,POS,94.57,3339.34,2022.81,True,2025-07-07 23:53:57.950629
INS000146,Blue Cross Blue Shield,Basic Coverage Plan 2021,HMO,90.55,5344.58,5205.64,True,2023-11-26 23:53:57.950629
INS000147,UnitedHealthcare,Standard Health Plan 2022,PPO,32.28,4274.82,8666.62,True,2022-12-04 23:53:57.950629
INS000148,Humana,Premium Plus Plan 2020,POS,40.07,5274.46,3163.68,True,2023-02-22 23:53:57.950629
INS000149,Aetna,Standard Health Plan 2024,EPO,26.66,3287.63,4171.99,True,2025-10-16 23:53:57.950629
INS000150,Anthem,Basic Coverage Plan 2024,POS,92.63,3171.3,5542.81,True,2022-01-25 23:53:57.950629
INS000151,Aetna,Silver Plan 2025,HMO,73.06,3909.31,5309.6,True,2025-10-04 23:53:57.950629
INS000152,Cigna,Gold Plan 2022,EPO,19.35,1676.1,8782.33,True,2021-11-01 23:53:57.950629
INS000153,Humana,Bronze Plan 2024,HMO,83.1,3617.18,2836.69,True,2021-09-15 23:53:57.950629
INS000154,Humana,Gold Plan 2021,POS,52.33,3209.29,3811.79,True,2024-02-20 23:53:57.950629
INS000155,Medicaid,Family Health Plan 2024,PPO,75.59,4416.75,4611.58,True,2024-09-18 23:53:57.950629
INS000156,Medicaid,Silver Plan 2020,POS,21.4,4840.39,3477.66,True,2023-05-11 23:53:57.950629
INS000157,Cigna,Standard Health Plan 2020,EPO,76.41,5265.43,5156.16,True,2023-01-16 23:53:57.950629
INS000158,Blue Cross Blue Shield,Premium Plus Plan 2025,PPO,84.0,1134.37,5012.25,True,2021-10-01 23:53:57.950629
INS000159,Kaiser Permanente,Gold Plan 2025,HMO,71.42,5092.93,4120.21,True,2021-07-05 23:53:57.950629
INS000160,Medicare,Family Health Plan 2022,EPO,31.47,4754.36,5377.48,True,2022-02-13 23:53:57.950629
INS000161,Cigna,Standard Health Plan 2025,EPO,46.71,4491.93,7305.34,True,2022-08-28 23:53:57.950629
INS000162,Anthem,Basic Coverage Plan 2024,POS,71.33,5257.0,6939.25,True,2021-03-25 23:53:57.950629
INS000163,Humana,Basic Coverage Plan 2023,HMO,88.76,3958.97,9321.1,True,2024-10-30 23:53:57.950629
INS000164,UnitedHealthcare,Standard Health Plan 2023,PPO,61.9,1649.0,7591.05,True,2025-08-31 23:53:57.950629
INS000165,Humana,Premium Plus Plan 2025,HMO,75.69,4708.82,6654.16,True,2022-12-21 23:53:57.950629
INS000166,Medicaid,Bronze Plan 2022,PPO,85.77,2665.75,7571.83,True,2023-12-09 23:53:57.950629
INS000167,Blue Cross Blue Shield,Gold Plan 2024,POS,54.34,4095.94,6396.42,True,2022-08-18 23:53:57.950629
INS000168,Anthem,Premium Plus Plan 2022,POS,31.41,4083.76,4492.93,True,2025-03-05 23:53:57.950629
INS000169,UnitedHealthcare,Standard Health Plan 2023,PPO,48.68,1753.86,6053.79,True,2023-03-11 23:53:57.950629
INS000170,Humana,Bronze Plan 2020,HMO,65.19,5345.33,6537.77,True,2022-10-12 23:53:57.950629
INS000171,Humana,Standard Health Plan 2024,POS,44.96,3741.85,7509.51,True,2023-05-09 23:53:57.950629
INS000172,Blue Cross Blue Shield,Standard Health Plan 2025,PPO,84.25,1990.69,8933.86,False,2025-01-27 23:53:57.950629
INS000173,Anthem,Basic Coverage Plan 2020,POS,36.34,3527.99,4618.61,True,2021-07-15 23:53:57.950629
INS000174,Cigna,Family Health Plan 2021,HMO,22.26,4730.68,6706.82,True,2023-03-10 23:53:57.950629
INS000175,Blue Cross Blue Shield,Bronze Plan 2025,EPO,97.63,3548.65,9831.17,True,2024-06-29 23:53:57.950629
INS000176,Anthem,Standard Health Plan 2021,PPO,47.04,3267.7,8428.63,True,2024-03-07 23:53:57.950629
INS000177,UnitedHealthcare,Standard Health Plan 2023,PPO,62.05,830.09,2394.4,True,2021-02-04 23:53:57.950629
INS000178,Humana,Silver Plan 2021,EPO,34.24,920.07,2992.93,True,2024-04-19 23:53:57.950629
INS000179,Humana,Standard Health Plan 2020,POS,65.47,2233.9,3078.14,True,2021-03-08 23:53:57.950629
INS000180,Medicare,Basic Coverage Plan 2021,PPO,90.06,3630.33,6792.87,True,2025-09-28 23:53:57.950629
INS000181,Kaiser Permanente,Premium Plus Plan 2024,POS,73.62,3037.67,3444.65,False,2022-05-10 23:53:57.950629
INS000182,Aetna,Family Health Plan 2023,HMO,32.95,5312.15,8758.55,True,2025-07-03 23:53:57.950629
INS000183,Cigna,Family Health Plan 2024,HMO,64.47,4255.87,8248.37,True,2023-02-28 23:53:57.950629
INS000184,Cigna,Gold Plan 2024,PPO,10.13,679.0,9957.47,False,2025-04-08 23:53:57.950629
INS000185,Blue Cross Blue Shield,Standard Health Plan 2023,PPO,20.31,3774.16,3971.17,True,2025-02-05 23:53:57.950629
INS000186,Kaiser Permanente,Standard Health Plan 2024,PPO,63.17,958.33,9429.99,False,2021-12-28 23:53:57.950629
INS000187,Cigna,Gold Plan 2023,HMO,77.21,5118.25,9113.23,True,2021-10-24 23:53:57.950629
INS000188,Aetna,Silver Plan 2024,POS,72.22,1676.4,2355.91,True,2023-05-15 23:53:57.950629
INS000189,Humana,Family Health Plan 2025,POS,61.9,3219.84,2907.11,True,2025-02-17 23:53:57.950629
INS000190,Medicare,Basic Coverage Plan 2025,EPO,83.3,2737.9,5795.85,True,2026-01-13 23:53:57.950629
INS000191,Anthem,Bronze Plan 2022,POS,62.22,2888.01,5379.86,True,2025-09-27 23:53:57.950629
INS000192,Kaiser Permanente,Bronze Plan 2022,HMO,97.05,3196.35,7825.58,True,2025-01-17 23:53:57.950629
INS000193,Medicaid,Family Health Plan 2022,EPO,32.39,5360.55,3816.55,True,2022-12-14 23:53:57.950629
INS000194,Anthem,Basic Coverage Plan 2021,HMO,74.0,1433.81,6768.05,True,2024-11-04 23:53:57.950629
INS000195,Medicare,Basic Coverage Plan 2024,POS,30.78,5169.52,8021.65,True,2022-08-05 23:53:57.950629
INS000196,Medicaid,Basic Coverage Plan 2020,POS,32.5,2760.03,6441.92,True,2024-05-22 23:53:57.950629
INS000197,Blue Cross Blue Shield,Silver Plan 2021,HMO,14.19,2402.24,5159.09,False,2023-01-12 23:53:57.950629
INS000198,Kaiser Permanente,Basic Coverage Plan 2025,EPO,16.5,889.96,5369.99,False,2025-04-29 23:53:57.950629
INS000199,Kaiser Permanente,Standard Health Plan 2024,POS,45.52,3570.12,3988.42,True,2022-07-15 23:53:57.950629
INS000200,Kaiser Permanente,Gold Plan 2021,POS,96.87,4097.04,9806.91,True,2021-05-04 23:53:57.950629
INS000201,Kaiser Permanente,Premium Plus Plan 2024,HMO,34.89,3818.46,7180.95,True,2024-10-04 23:53:57.950629
INS000202,Medicare,Silver Plan 2023,HMO,20.14,2807.03,2800.07,True,2025-04-13 23:53:57.950629
INS000203,UnitedHealthcare,Gold Plan 2022,HMO,10.25,3552.16,6634.15,True,2022-04-30 23:53:57.950629
INS000204,Medicare,Premium Plus Plan 2024,EPO,28.92,2962.36,4621.23,True,2025-03-03 23:53:57.950629
INS000205,Medicare,Standard Health Plan 2025,EPO,19.97,3209.88,6795.95,True,2025-09-16 23:53:57.950629
INS000206,Cigna,Basic Coverage Plan 2025,POS,72.66,4785.12,5031.86,True,2024-08-17 23:53:57.950629
INS000207,Medicaid,Silver Plan 2025,POS,47.2,3372.96,2061.43,True,2025-07-18 23:53:57.950629
INS000208,UnitedHealthcare,Gold Plan 2021,PPO,40.72,2682.32,2198.19,True,2024-06-26 23:53:57.950629
INS000209,Anthem,Family Health Plan 2022,PPO,50.24,2986.13,7248.51,True,2024-06-24 23:53:57.950629
INS000210,Humana,Gold Plan 2020,HMO,23.23,4727.56,6579.2,False,2023-04-24 23:53:57.950629
INS000211,Anthem,Family Health Plan 2024,HMO,68.32,4685.23,8455.95,True,2024-06-24 23:53:57.950629
INS000212,Blue Cross Blue Shield,Family Health Plan 2023,PPO,21.09,1147.44,4389.71,True,2022-05-15 23:53:57.950629
INS000213,Aetna,Gold Plan 2023,HMO,43.19,3080.58,9770.2,True,2024-11-09 23:53:57.950629
INS000214,Medicare,Premium Plus Plan 2021,PPO,97.95,1480.77,4001.74,True,2021-12-10 23:53:57.950629
INS000215,Medicaid,Premium Plus Plan 2024,PPO,44.09,5470.96,2375.67,True,2025-04-21 23:53:57.950629
INS000216,Kaiser Permanente,Family Health Plan 2024,POS,56.7,690.9,9364.07,True,2021-11-03 23:53:57.950629
INS000217,Aetna,Silver Plan 2020,EPO,34.76,3716.53,9989.12,True,2021-03-21 23:53:57.950629
INS000218,Cigna,Basic Coverage Plan 2023,EPO,69.68,2091.27,7459.27,True,2023-02-06 23:53:57.950629
INS000219,Medicaid,Bronze Plan 2025,POS,87.2,3121.93,4191.77,True,2021-11-06 23:53:57.950629
INS000220,Kaiser Permanente,Standard Health Plan 2020,HMO,23.13,2492.97,9224.24,True,2025-06-05 23:53:57.950629
INS000221,Humana,Silver Plan 2022,PPO,45.03,1431.19,8892.51,False,2025-09-02 23:53:57.950629
INS000222,Humana,Premium Plus Plan 2025,POS,26.92,3626.0,6907.12,True,2023-09-05 23:53:57.950629
INS000223,Kaiser Permanente,Basic Coverage Plan 2024,HMO,69.93,1687.41,5450.72,True,2024-01-09 23:53:57.950629
INS000224,Medicare,Basic Coverage Plan 2025,HMO,95.21,759.36,5283.68,False,2022-10-21 23:53:57.950629
INS000225,Medicare,Premium Plus Plan 2025,PPO,31.85,1846.64,4615.0,True,2022-08-31 23:53:57.950629
INS000226,Blue Cross Blue Shield,Gold Plan 2023,PPO,54.0,649.49,5486.43,True,2022-01-21 23:53:57.950629
INS000227,UnitedHealthcare,Family Health Plan 2025,PPO,34.65,4973.58,3294.63,True,2024-12-10 23:53:57.950629
INS000228,UnitedHealthcare,Bronze Plan 2021,EPO,14.4,2301.79,8561.53,True,2022-02-10 23:53:57.950629
INS000229,Kaiser Permanente,Family Health Plan 2021,PPO,10.28,5472.37,9451.14,False,2025-12-26 23:53:57.950629
INS000230,Anthem,Silver Plan 2023,POS,51.72,2404.7,4517.98,True,2022-04-08 23:53:57.950629
INS000231,Anthem,Basic Coverage Plan 2024,HMO,15.53,3597.7,8921.43,True,2025-05-01 23:53:57.950629
INS000232,Blue Cross Blue Shield,Silver Plan 2025,EPO,90.0,3928.06,5920.23,True,2021-12-01 23:53:57.950629
INS000233,Humana,Basic Coverage Plan 2022,HMO,15.36,3345.97,5544.77,True,2022-07-11 23:53:57.950629
INS000234,Medicaid,Standard Health Plan 2024,HMO,51.29,653.17,6300.14,True,2021-12-03 23:53:57.950629
