Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters,City,State
57,Lockheed Martin,Aerospace and defense,67571.0,2.4,122000,"Bethesda, Maryland",Bethesda,Maryland
58,American Express,Financial,67364.0,21.1,74600,"New York City, New York",New York City,New York
59,Caterpillar,Machinery,67060.0,12.8,113200,"Deerfield, Illinois",Deerfield,Illinois
60,MetLife,Financials,66905.0,-4.3,45000,"New York City, New York",New York City,New York
61,HCA Healthcare,Healthcare,64968.0,7.9,265000,"Nashville, Tennessee",Nashville,Tennessee
62,Progressive Corporation,Insurance,62109.0,25.2,61432,"Mayfield Village, Ohio",Mayfield Village,Ohio
63,IBM,Technology and cloud computing,61860.0,-16.3,296600,"Armonk, New York",Armonk,New York
64,John Deere,Agriculture manufacturing,61251.0,16.5,82956,"Moline, Illinois",Moline,Illinois
65,Nvidia,Technology,60922.0,125.9,29600,"Santa Clara, California",Santa Clara,California
66,StoneX Group,Financials,60856.0,-7.8,4137,"New York City, New York",New York City,New York
67,Merck & Co.,Pharmaceutical industry,60115.0,1.4,71000,"Kenilworth, New Jersey",Kenilworth,New Jersey
68,ConocoPhillips,Petroleum industry,58574.0,-28.7,9900,"Houston, Texas",Houston,Texas
69,Pfizer,Pharmaceutical industry,58496.0,-41.7,88000,"New York City, New York",New York City,New York
70,Delta Air Lines,Airline,58048.0,14.8,103000,"Atlanta, Georgia",Atlanta,Georgia
71,TD Synnex,Infotech,57555.0,-7.7,28000,"Clearwater, Florida",Clearwater,Florida
72,Publix,Retail,57534.0,4.7,253000,"Lakeland, Florida",Lakeland,Florida
73,Allstate,Insurance,57094.0,11.1,53200,"Northfield Township, Cook County, Illinois","Northfield Township, Cook County, Illinois",
74,Cisco,Telecom hardware manufacturing,56998.0,10.6,84900,"San Jose, California",San Jose,California
75,Nationwide Mutual Insurance Company,Financial,54609.0,6.1,24118,"Columbus, Ohio",Columbus,Ohio
76,Charter Communications,Telecommunications,54607.0,1.1,101100,"Stamford, Connecticut",Stamford,Connecticut
77,AbbVie,Pharmaceutical industry,54317.0,-6.4,50000,"Lake Bluff, Illinois",Lake Bluff,Illinois
78,New York Life Insurance Company,Insurance,54317.0,14.2,15384,"New York City, New York",New York City,New York
79,Intel,Technology,54228.0,-14.0,124800,"Santa Clara, California",Santa Clara,California
80,TJX,Retail,49936.0,2.9,329000,"Framingham, Massachusetts",Framingham,Massachusetts
81,Prudential Financial,Financials,53979.0,-10.1,40366,"Newark, New Jersey",Newark,New Jersey
82,HP,Technology,53718.0,-14.5,58000,"Palo Alto, California",Palo Alto,California
83,United Airlines,Airline,53717.0,19.5,103300,"Chicago, Illinois",Chicago,Illinois
84,Performance Food Group,Food processing,53355.0,13.1,34825,"Richmond, Virginia",Richmond,Virginia
85,Tyson Foods,Food processing,52788.0,-0.8,139000,"Springdale, Arkansas",Springdale,Arkansas
86,American Airlines,Airline,52788.0,7.8,132100,"Fort Worth, Texas",Fort Worth,Texas
87,Liberty Mutual,Insurance,52612.0,5.3,45000,"Boston, Massachusetts",Boston,Massachusetts
88,Nike,Apparel,51217.0,9.6,83700,"Beaverton, Oregon",Beaverton,Oregon
89,Oracle Corporation,Technology,49954.0,17.7,164000,"Austin, Texas",Austin,Texas
90,Enterprise Products,Petroleum industry,49715.0,-14.6,7500,"Houston, Texas",Houston,Texas
91,Capital One Financial,Financials,49484.0,29.0,51987,"Richmond, Virginia",Richmond,Virginia
92,Plains All American Pipeline,Petroleum industry,48712.0,-15.1,4200,"Houston, Texas",Houston,Texas
93,World Kinect Corporation,Energy trading,47711.0,-19.2,5289,"Doral, Florida",Doral,Florida
94,AIG,Insurance,46802.0,-17.1,25200,"New York City, New York",New York City,New York
95,Coca-Cola,Beverage,45754.0,6.4,79100,"Atlanta, Georgia",Atlanta,Georgia
96,TIAA,Financials,45735.0,11.8,16023,"New York City, New York",New York City,New York
97,CHS,Agriculture cooperative,45590.0,-4.6,10609,"Inver Grove Heights, Minnesota",Inver Grove Heights,Minnesota
98,Bristol-Myers Squibb,Pharmaceutical industry,45006.0,-2.5,34100,"New York City, New York",New York City,New York
99,Dow Chemical Company,Chemical industry,44622.0,-21.6,35900,"Midland, Michigan",Midland,Michigan
100,Best Buy,Retail,43452.0,-6.1,85000,"Richfield, Minnesota",Richfield,Minnesota
